Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building, Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)",Constituency over 50% one race,Length of Lease (Date),Address,Location,Closed Date,Closed?
Alki Bathhouse Studio,(206) 684-7430,www.seattle.gov/parks/arts/alkiart.htm,1550,West Seattle,Y,Multi-use,1920,O,1920,1920,0,0,0,Y,1550,Y,0,Y,Y,Y,N,5,,0,1702 Alki Ave S.W. Seattle WA 98116,"(47.5796800, -122.4096700)",,0
Alki Community Center,,,,Alki,,Community Center,,,,,,,,,,,,,,,,,,,5817 SW Stevens St Seattle WA 98116,"(47.5772710, -122.4073640)",,0
All Metal Arts Hazardfactory,(206) 200-9496,www.allmetalarts.org,3000,South Park,N,Visual,2007,R,1985,2000,2,0,,N,,I don't know.,20,Y,N,N,N,2,,2018,7800 7th Ave South Seattle WA 98108,"(47.5324600, -122.3249600)",,0
All Pilgrims Christian Church,(206) 322-0487,http://www.allpilgrims.org/,,Capitol Hill,,Multi-use,,,,,,,,,,,,,,,,,,,500 Broadway E Seattle WA 98102,"(47.6233600, -122.3203740)",,0
All That Dance,206-457-4891,info@all-that-dance.com,3000,Greenwood,N,Performance,2012,R,1970,1995,1,0,,N,,Partial,25,N,N,N,N,4,,2023,320 N 85th St Seattle WA 98103,"(47.6912120, -122.3542790)",,0
Allegro Performing Arts Academy,(253) 813-9630,www.allegrodance.com,12000,,N,Studios,2014,Other,1962,1962,3,0,,N,,Y,60,Y,Y,N,,5,,,222 Central Ave S  Kent WA 98032,"(47.3804100, -122.2301280)",,0
Allied Arts Foundation,,,,Madison Park,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,1620 43rd Ave E #16A Seattle WA 98112,"(47.6338200, -122.2763520)",,0
ALTspace,(206) 424-7863,www.airlighttimespace.org,2500,Central District,Y,Studios,2010,R,1910,2011,0,0,0,N,0,,0,Y,N,N,N,4,,2015,2318 E Cherry St Seattle WA 98122,"(47.6081565, -122.3018854)",,0
AMC Loews Oak Tree 6,,,,Licton Springs,,Cinema,,,,,,,,,,,,,,,,,,,10006 Aurora Ave N Seattle WA 98133,"(47.7018421, -122.3424979)",,0
AMC Pacific Place 11,,,,Downtown,,Cinema,,,,,,,,,,,,,,,,,,,600 Pine St #400 Seattle WA 98101,"(47.6128742, -122.3352762)",,0
American Dance Institute,(206) 783-0755,www.americandanceinstitute.com,2800,Greenwood,N,Arts/Cultural Training or Education,1988,R,1940,1988,0,0,0,N,0,N,2,Y,Y,N,N,3,,2018,8001 Greenwood Ave N Seattle WA 98103,"(47.6870482, -122.3554887)",,0
American Legion Post #79,(425) 396-6100,www.americanlegion.com,2000,,Y,Multi-use,1928,O,1902,1929,0,0,,N,,Y,0,Y,Y,N,,4,,,38625 SE River St Snoqualmie WA 98065,"(47.5266850, -121.8255820)",,0
American Music,,,,Fremont,,Music,,,,,,,,,,,,,,,,,,,4450 Fremont Ave N Seattle WA 98103,"(47.6609800, -122.3496320)",,0
Ananda Mela Festival,,,,,,Performance,,,,,,,,,,,,,,,,,,,Redmond City Hall 15670 NE 85th St Redmond WA 98052,"(47.6791300, -122.1308870)",,0
Annex Theatre,(206) 728-0933,www.annextheatre.org,3750,Capitol Hill,Y,Performance,2007,R,1910,1986,5,1,99,N,0,N,0,Y,Y,Y,N,2,,,1100 E Pike St Seattle WA 98122,"(47.6142600, -122.3178560)",,0
Anthony Peters' Tap Dance Seattle,,,,Green Lake,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,6600 1st Ave NE Seattle WA 98115,"(47.6777479, -122.3280274)",,0
Arab Center of Washington,,www.arabcenterwa.org,200,Haller Lake,Y,Arts/Cultural Administration or Advocacy,2001,R,1980,1992,1,0,,I don't know.,0,Y,30,N,N,N,Y,4,,,12525 28th Ave NE 2nd Floor Seattle WA 98125,"(47.7198060, -122.2977030)",,0
ARC Dance,(206) 352-0798,www.arcdance.org,9000,Crown Hill,Y,Performance,2004,R,1950,1998,0,1,150,N,0,Y,0,Y,Y,N,N,3,,2023,9250 14th Ave NW Seattle WA 98117,"(47.6973909, -122.3736435)",,0
Arcane Comics & More,,,,Ballard,,Literary,,,,,,,,,,,,,,,,,,,5809 15th Ave NW Seattle WA 98107,"(47.6711050, -122.3762400)",2016,1
Arcane Comics & More,,,,Haller Lake,,Literary,,,,,,,,,,,,,,,,,,,"15202 Aurora Ave N, Shoreline WA 98133","(47.7394500, -122.3439400)",,0
Aria Ballroom,(425) 867-0777,www.AriaBallroom.com,5000,,N,Performance,2012,R,1970,2012,0,0,,N,,Partial,50,Y,N,N,,5,,,15300 NE 95th Street Redmond WA 98052,"(47.6853860, -122.1347240)",,0
Aria Dance Company,(253) 924-0621,www.ninthavenuedance.com/aria.html,,,,Performance,,,,,,,,,,,,,,,,,,,33639 9th Ave S Federal Way WA 98003,"(47.3003350, -122.3230844)",,0
Ark Lodge Cinemas,206 721 3156,arklodgecinemas.com,7000,Columbia City,N,Cinema,2012,R,1921,2012,0,4,422,N,,Partial,0,Y,N,N,N,4,,2027,4816 Rainer Ave South Seattle WA 98118,"(47.5590120, -122.2856120)",,0
ARPAN Performing Arts,(425) 898-8040,www.arpanarts.org,600,,Other,Visual,2006,O,1996,2006,0,0,,N,,I don't know.,10,I don't know.,Y,N,,5,,,24311 NE 80th St Redmond WA 98053,"(47.6741030, -122.0146260)",,0
Art Gallery of Sno-Valley,,,,,,Visual,,,,,,,,,,,,,,,,,,,8130 Railroad Avenue Snoqualmie WA 98065,"(47.5277030, -121.8244090)",,0
Art Institute of Seattle,(206) 448-6600,www.artinstitutes.edu/seattle,100167,Belltown,N,Arts/Cultural Training or Education,1983,R,,1946,2,0,0,Y,1600,Y,0,Y,N,Y,N,4,,2026,2323 Elliott Ave Seattle WA 98121,"(47.6122895, -122.3491939)",,0
Art Maniac Studio,(206) 499 5783,www.artmaniacstudio.com,1100,,N,Arts/Cultural Training or Education,2013,R,1990,2013,0,0,,N,,I don't know.,10,N,I don't know.,N,,4,,,13457 Southeast 27th Place Bellevue WA 98005,"(47.5861080, -122.1602200)",,0
Art On The Ridge,,,,Greenwood,,Visual,,,,,,,,,,,,,,,,,,,8005 Greenwood Ave N Seattle WA 98103,"(47.6871653, -122.3554887)",,0
Cleopatra Park Audio Recording,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,0
Art With A Heart,,,,First Hill,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,316 Broadway Suite 316 Seattle WA 98122,"(47.6045340, -122.3203350)",,0
Art Xchange Gallery,(206) 839-0377,www.artxchange.org,2000,Pioneer Square,N,Visual,2005,O,,1995,2,0,0,Y,,Y,4,Y,Y,N,N,4,,0,512 1st Ave S Seattle WA 98104,"(47.5979017, -122.3339034)",,0
Art/Not Terminal Gallery,(206) 233-0680,www.antgallery.org,3280,Queen Anne,Y,Visual,1993,R,1920,1988,1,0,0,Y,3280,Partial,0,Y,Y,N,N,2,,2015,"305 Harrison St, Seattle, WA 98109","(47.6219800, -122.3516600)",,0
Art/Not Terminal Gallery,(206) 233-0680,www.antgallery.org,3280,South Lake Union,Y,Visual,1993,R,1920,1988,1,0,0,Y,3280,Partial,0,Y,Y,N,N,2,,2015,2045 Westlake Ave Seattle WA 98121,"(47.6158592, -122.3384530)",2016-05-31T00:00:00,1
ARTEAST,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,95 Front Street North Issaquah WA 98027,"(47.5312530, -122.0368130)",,0
Artech,,,,Downtown,,Service/Supply,,,,,,,,,,,,,,,,,,,2601 1st Ave Seattle WA 98121,"(47.6152150, -122.3502270)",,0
Artforte Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,307 Occidental Ave S Seattle WA 98104,"(47.5998538, -122.3331316)",,0
ArtFX Studio Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,420 N. 35th St. Seattle WA 98103,"(47.6513614, -122.3534984)",,0
Arthur Murray Dance Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,130 Western Ave W Seattle WA 98119,"(47.6194127, -122.3583566)",,0
Artist & Craftsman Supply,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,4350 8th Ave NE Seattle WA 98105,"(47.6599873, -122.3196590)",,0
Artist Trust,(866) 218-7878,www.artisttrust.org,3500,Capitol Hill,Y,Arts/Cultural Administration or Advocacy,2001,O,2002,1987,1,0,0,N,0,Y,4,Y,N,N,Y,5,,0,1835 12th Ave Seattle WA 98122,"(47.6185686, -122.3172487)",,0
Arts Alive!,(360) 802-6787,www.plateauartsalive.org,1884,,Y,Arts/Cultural Training or Education,2005,R,1960,1984,3,0,,Y,1104,Y,150,Y,Y,N,,5,,2018,1429 Cole Street Enumclaw WA 98022,"(47.2024780, -121.9905050)",,0
Arts and Visually Impaired Audiences,(206) 323-7190,www.artsvia.org,90,Capitol Hill,Y,Arts/Cultural Administration or Advocacy,2010,R,1995,1991,4,0,,N,,Y,0,N,N,N,Y,4,,No date.,400 Harvard Ave. E. #202 Seattle WA 98102,"(47.6225620, -122.3216930)",,0
"Arts for Hearts, Inc.",(425) 985-2503,www.artsforhearts.com,600,,Y,Arts/Cultural Training or Education,2006,O,1964,2006,0,0,,N,,I don't know.,10,Y,N,Y,,5,,,22843 SE 21st Street Sammamish WA 98075,"(47.5904920, -122.0336460)",,0
Arts for Life,(425) 679-6362,,200,,Y,Music,2012,O,1979,2012,0,0,,N,,N,1,N,N,N,,4,,,5101 Somerset Dr. SE Bellevue WA 98006,"(47.5569950, -122.1617090)",,0
Arts in Motion,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,4730 32nd Ave S Seattle WA,"(47.5598830, -122.2906340)",,0
Arts of Kenmore,(425) 481-7199,www.artsofkenmore.org,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,P.O. Box 82767 Kenmore WA 98028-0767,,,0
Arts West,(206) 938-0339,www.artswest.org,12680,West Seattle,Y,Multi-use,1998,O,1928,1998,0,1,149,Y,900,Y,0,Y,,Y,Y,4,,0,4711 California Ave SW Seattle WA 98116,"(47.5607163, -122.3871398)",,0
ArtsFund,(206) 281-9050,www.artsfund.org,3700,Queen Anne,Y,Arts/Cultural Administration or Advocacy,2006,O,1964,1970,1,0,,N,,Y,40,Y,N,N,N,5,,,10 Harrison St Suite 200 Seattle WA 98109,"(47.6181960, -122.3362331)",,0
Artspace Hiawatha Lofts,(206) 709-7611,www.artspace.org,88843,Central District,Y,Live/Work,2010,Other,2008,1979,0,0,0,Y,1500,Y,60,Y,N,N,N,5,,0,843 Hiawatha Pl S Seattle WA 98144,"(47.5951899, -122.3099181)",,0
Artspace Mt Baker Lofts,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,2915 Rainier Avenue S Seattle WA 98144,"(47.5771680, -122.2976680)",,0
Artspace Tashiro Kaplan Lofts and the Angle & Corridor Gallery,(206) 223-1160,www.tklofts.com,130000,Pioneer Square,N,Live/Work,2004,O,1902,2004,0,0,0,Y,,Partial,24,Y,Y,N,,5,,0,115 Prefontaine Place S Seattle WA 98104,"(47.6012805, -122.3297091)",,0
Artspawn Studios,(425) 466-7800,www.artspawn.org,3500,,N,Studios,2000,O,1950,2000,0,0,,N,,Partial,20,N,Y,N,,5,,,13931 Bear Creek Rd Woodinville WA 98077,"(47.7255000, -122.0784410)",,0
Asian Resource Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,1025 South King St. Seattle WA 98104,"(47.5979230, -122.3183980)",,0
At the Ridge Theatre,(253) 653-2626,www.attheridgetheatre.com,14000,,Y,Performance,2005,Other,2003,2000,3,1,450,N,,Y,500,N,Y,N,,4,,,16321 SE 254th St Covington WA 98042,"(47.3741374, -122.1232671)",,0
Atlas Theatre,,,,,,Performance,,,,,,,,,,,,,,,,,,,3509 Fremont Ave N Seattle WA 98103,"(47.6506600, -122.3498900)",,0
Auburn Performing Arts Center/Auburn Riverside Theatre,(253) 931-4827,www.auburn.wednet.edu/PerformingArts/PerformingArts.html,,,,Performance,,,,,,,,,,,,,,,,,,,915 4th St NE Auburn WA 98002,"(47.3111234, -122.2181147)",,0
Auburn Symphony Orchestra,(253) 887-7777,www.auburnsymphony.org,,,,Music,,,,,,,,,,,,,,,,,,,2 Auburn Way N  98002 Auburn WA 98071,"(47.3077450, -122.2255000)",,0
Elliott Bay Recording Inc,,,,,,Studios,,,,,,,,,,,,,,,,,,,932 12th Ave Seattle WA 98122,"(47.6113827, -122.3164132)",,0
Auburn Valley Creative Arts,(206) 940-7144,www.auburnvalleycreativearts.com,400,,Y,Arts/Cultural Training or Education,2014,R,1950,2010,2,0,,Y,400,I don't know.,200,N,N,N,,4,,It's month to month.,222 E. Main St. Ste. F Auburn WA 98071,"(47.3072390, -122.2270220)",,0
AudioLogic,(206) 817-8760,www.audiologicinc.com,1450,Lake City,N,Studios,1993,R,1935,1993,0,0,0,N,0,,0,,N,N,N,2,,None,12047 31st Ave NE Seattle WA 98125,"(47.7170286, -122.2955694)",,0
Avalon Glassworks,(206) 937-6369,www.avalonglassworks.com,1300,West Seattle,N,Studios,2002,R,1922,1992,0,0,0,Y,550,N,1,Y,N,N,N,4,,None,2914 SW Avalon Way Seattle WA 98126,"(47.5707566, -122.3710219)",,0
Avanti Art and Design/Avanti Co-Op Gallery,(206) 784-8475,www.avantiartdesign.org,1500,Phinney Ridge,,Visual,2012,R,1920,2011,1,0,0,Y,1100,,2,Y,Y,N,N,4,,10,7601 Greenwood Ave N #101 Seattle WA 98103,"(47.6841406, -122.3555094)",,0
Avast Recording Co,(206) 633-3926,www.avastrecording.com,7500,Greenwood,N,Music,2004,O,1927,1989,1,0,0,N,0,Partial,5,Y,N,N,N,4,,0,601 NW 80th St Seattle WA 98117,"(47.6867128, -122.3636508)",,0
Avellino Building/Mercer Island Visual Arts League Gallery,(206) 619-6276,www.MIVAL.org,840,,Y,Visual,2009,R,2004,1969,1,0,,Y,600,Partial,1,N,N,N,,3,,It's month to month.,2936 78th Ave SE Mercer Island WA 98040,"(47.5841180, -122.2336290)",,0
AXIS Pioneer Square,(206) 681-9316,www.axispioneersquare.com,6000,Pioneer Square,N,Performance,2013,R,1890,2013,0,0,,Y,800,I don't know.,0,Y,I don't know.,Y,N,4,,,308 1st Ave S Seattle WA 98104,"(47.6157890, -122.3441663)",,0
Azuma Gallery,,,,Pioneer Square,,Visual,,,,,,,,,,,,,,,,,,,530 1st Ave South Seattle WA 98104,"(47.5975149, -122.3339613)",,0
B L M F Literary Saloon,,,,Downtown,,Literary,,,,,,,,,,,,,,,,,,,1501 Pike Pl #322 Seattle WA 98101,"(47.6087070, -122.3410490)",,0
Baas Framing Studio & The Madison Art Collective,(206) 324-4742,www.baasframingstudio.com,1200,Madison Valley,N,Visual,1995,R,1955,1993,1,0,0,Y,600,Y,1,Y,N,N,N,2,,It's month to month.,2703 E Madison Seattle WA 98112,"(47.6226750, -122.2974160)",,0
Backstage Dance Studio,(425)747-5070,www.backstagedance.org,12000,,N,Performance,1999,R,1999,1982,2,0,,N,,Y,35,I don't know.,Y,N,,2,,,13420 SE 32nd St Bellevue WA 98005,"(47.5827830, -122.1605810)",,0
Bad Animals,,http://badanimals.com/,,Belltown,,Studios,,,,,,,,,,,,,,,,,,,2212 4th Ave Seattle WA 98121,"(47.6151383, -122.3429230)",,0
Bahia In Motion,(206) 819-3334,www.bahiainmotion.com,1250,Fremont,N,Arts/Cultural Training or Education,2008,R,1920,2008,2,0,0,Y,300,N,1,Y,Y,N,N,4,,2018-2020,418 N 35th St Seattle WA 98103,"(47.6514700, -122.3536000)",,0
Ballard Academy of Music & Dance,,,,Loyal Heights,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,N,,,,2404 NW 80th St Seattle WA 98117,"(47.6869229, -122.3878221)",,0
Ballard Alki Lodge IOOF-Ballard-Alki Lodge #170,(206) 782-9646,https://www.ballardoddfellows.org/,2251,Ballard,Y,Multi-use,1903,O,1903,1819,0,0,,Y,451,Partial,0,Y,Y,N,N,5,,,1706 NW Market St Seattle WA 98107,"(47.6689407, -122.3793225)",,0
Ballard Community Center,(206) 684-4093,www.seattle.gov,100,Ballard,N,Community Center,1980,O,1980,1980,1,0,,I don't know.,,Partial,25,I don't know.,Y,N,N,3,,,6020 28th Avenue NW Seattle WA 98115,"(47.6727830, -122.3915480)",,0
Ballard NW Senior Center,(206) 297-0403,www.BallardSeniorCenter.org,4200,Ballard,N,Community Center,1973,Other,1953,1973,0,0,0,N,,Y,12,Y,Y,Y,N,5,,,5429 32nd NW Seattle WA 98107,"(47.6683690, -122.3986660)",,0
Ballard Rock Rooms/Birds Nest,(206) 369-7588,http://www.rockroomsballard.com/Home.html,8800,Ballard,N,Music,2014,O,1940,2013,0,0,0,N,0,Y,0,N,Y,N,N,5,,,632 NW 46th St Seattle WA 98107,"(47.6624817, -122.3655177)",,0
BallardWorks LLC,(206) 784-9987,http://www.ballardworks.com/,14000,Ballard,Other,Studios,2004,O,1961,2003,0,0,,Y,501,Partial,6,Y,Y,N,N,5,,,2856 NW Market St Seattle WA 98107,"(47.6688915, -122.3954081)",,0
Ballet Bellevue,(425) 455-1345,www.balletbellevue.org,2100,,Y,Arts/Cultural Training or Education,1967,R,1967,1964,1,0,,Y,1000,N,12,Y,Y,Y,,1,,2015,204  100th Ave. NE Bellevue WA 98004,"(47.6121340, -122.2065020)",,0
Baltic Room,(206) 625-4444,http://www.balticroom.com/,,Capitol Hill,,Music,,,,,,,,,,,,,,,,,,,1207 Pine St Seattle WA 98101,"(47.6149287, -122.3282665)",,0
Barnes & Noble - Downtown,,,,Downtown,,Literary,,,,,,,,,,,,,,,,,,,600 Pine St Suite 107 Seattle WA 98101,"(47.6128742, -122.3352762)",,0
Barnes & Noble - Westwood Village,,,,,,Literary,,,,,,,,,,,,,,,,,,,2600 SW Barton St Suite E-1 Seattle WA 98126,"(47.6100490, -122.2826320)",,0
Barnes & Noble -Northgate,,,,Northgate,,Literary,,,,,,,,,,,,,,,,,,,401 NE Northgate Way #1100 Seattle WA 98125,"(47.7083148, -122.3281769)",,0
Barsuk Records,,,,Queen Anne,,Service/Supply,,,,,,,,,,,,,,,,,,,217 W. Galer St Seattle WA 98119,"(47.6321308, -122.3599365)",,0
Bass Northwest,(206) 622-2277,www.bassnw.com,2500,Pioneer Square,N,Music,1993,R,1889,1993,0,0,,N,0,I don't know.,0,Y,N,N,N,4,,2016-05-01T00:00:00,119 Yesler Way Seattle WA 98104,"(47.6225620, -122.3217010)",,0
Fiber Gallery,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,8212 Greenwood Avenue North Seattle WA 98103,"(47.6886100, -122.3552930)",,0
Bastyr University,(425) 602-3003,www.Bastyr.edu,187000,,Y,Arts/Cultural Training or Education,1996,O,1958,1978,3,2,750,N,0,Y,700,N,Y,N,,5,,,14500 Juanita DR NE Kenmore WA 98028,"(47.7540232, -122.2499217)",,0
Bayview Work Lofts,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,168 Western Ave W Seattle WA 98119,"(47.6195670, -122.3590140)",,0
Beacon Arts and Garden House,(206) 323-7733,http://www.beacon-arts.org/,200,Beacon Hill,Y,Music,2010,R,1883,2009,1,0,80,N,0,Partial,20,Y,Y,Y,Y,3,,,2336 15th Ave S. Seattle WA 98144,"(47.5817608, -122.3130944)",,0
Beadworld,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,9524 Roosevelt Way NE Seattle WA 98115,"(47.6980050, -122.3176150)",,0
"Bear Creek Studio and Music Production, Inc",,,,,,Studios,,,,,,,,,,,,,,,,,,,6313 Maltby Road Woodinville WA 98072,"(47.8053560, -122.1489020)",,0
Bell & Reed,,,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,15 Prefontaine Pl. S Suite 510 Seattle WA 98104,"(47.6017190, -122.3302690)",,1
Belle and Wissell/Oxbow,(206) 322-7908,www.bwco.info,11250,Georgetown,N,Multi-use,2011,O,1925,2003,1,1,,Y,2500,Y,8,Y,Y,Y,Y,5,,0,6014 12th Ave S Seattle WA 98108,"(47.5487509, -122.3170704)",,0
Bellevue Art Studio,(425) 577-1638,www.bellevueartstudio.com ,800,,Other,Visual,2007,R,1970,2005,4,0,,N,,I don't know.,2,N,N,N,,3,,,13256 NE 20th St. #14 Bellevue WA 98005,"(47.6289640, -122.1620310)",,0
Bellevue Arts Museum,(425) 519-0770,www.bellevuearts.org,36000,,Y,Arts/Cultural Training or Education,2000,O,2000,1975,4,2,300,Y,13000,Y,75,Y,Y,N,,5,,,510 Bellevue Way NE Bellevue WA 98004,"(47.6147893, -122.2015344)",,0
